UNIQUE_id,PSYCH_big_five_inventory_neurotic_score,CONNECTION_activities_greeted_neighbour_or_stranger_p3m
cscs_00731,NA,NA
cscs_00732,NA,NA
cscs_00734,NA,Monthly
cscs_00735,NA,NA
cscs_00737,13,Weekly
cscs_00738,NA,A few times a month
cscs_00739,NA,Less than monthly
cscs_00740,NA,NA
cscs_00741,NA,Not in the past three months
cscs_00742,NA,NA
cscs_00743,NA,NA
cscs_00744,NA,Daily or almost daily
cscs_00744,NA,Daily or almost daily
cscs_00744,NA,Daily or almost daily
cscs_00745,NA,NA
cscs_00746,NA,NA
cscs_00747,NA,NA
cscs_00748,NA,NA
cscs_00749,NA,NA
cscs_00750,NA,Daily or almost daily
cscs_00751,NA,Daily or almost daily
cscs_00752,NA,Daily or almost daily
cscs_00753,NA,Weekly
cscs_00754,NA,Daily or almost daily
cscs_00755,33,A few times a week
cscs_00756,37,A few times a month
cscs_00757,NA,A few times a week
cscs_00758,NA,NA
cscs_00759,NA,Less than monthly
cscs_00760,24,NA
cscs_00761,NA,Monthly
cscs_00762,NA,Daily or almost daily
cscs_00763,NA,NA
cscs_00764,NA,NA
cscs_00765,NA,Weekly
cscs_00766,NA,A few times a week
cscs_00767,NA,Daily or almost daily
cscs_00768,NA,A few times a month
cscs_00769,NA,Monthly
cscs_00770,NA,NA
cscs_00771,NA,Daily or almost daily
cscs_00772,NA,NA
cscs_00773,26,Daily or almost daily
cscs_00774,NA,NA
cscs_00776,NA,NA
cscs_00777,NA,Daily or almost daily
cscs_00778,NA,A few times a month
cscs_00779,28,A few times a week
cscs_00781,NA,NA
cscs_00783,NA,Daily or almost daily
cscs_00784,NA,A few times a week
cscs_00785,NA,NA
cscs_00786,9,A few times a week
cscs_00787,NA,NA
cscs_00788,NA,NA
cscs_00789,NA,Daily or almost daily
cscs_00790,22,A few times a week
cscs_00791,NA,NA
cscs_00792,NA,NA
cscs_00793,NA,A few times a week
cscs_00794,NA,Monthly
cscs_00795,NA,Weekly
cscs_00796,NA,Weekly
cscs_00797,27,A few times a week
cscs_00798,14,Daily or almost daily
cscs_00799,NA,Less than monthly
cscs_00800,NA,NA
cscs_00801,NA,NA
cscs_00802,18,A few times a month
cscs_00803,NA,NA
cscs_00804,NA,NA
cscs_00805,36,Less than monthly
cscs_00806,NA,NA
cscs_00807,NA,Weekly
cscs_00807,NA,A few times a week
cscs_00808,NA,NA
cscs_00809,NA,A few times a week
cscs_00810,NA,NA
cscs_00812,NA,Daily or almost daily
cscs_00814,NA,NA
cscs_00815,NA,NA
cscs_00816,NA,A few times a week
cscs_00817,NA,NA
cscs_00819,NA,A few times a week
cscs_00820,NA,NA
cscs_00821,NA,NA
cscs_00822,NA,Less than monthly
cscs_00823,NA,Daily or almost daily
cscs_00824,NA,NA
cscs_00825,NA,NA
cscs_00826,NA,Daily or almost daily
cscs_00827,30,A few times a week
cscs_00829,NA,Monthly
cscs_00830,NA,NA
cscs_00832,NA,NA
cscs_00833,NA,Weekly
cscs_00835,NA,Monthly
cscs_00836,34,Weekly
cscs_00837,31,NA
cscs_00838,NA,A few times a week
cscs_00839,NA,NA
cscs_00840,NA,Daily or almost daily
cscs_00841,24,Weekly
cscs_00842,NA,Monthly
cscs_00843,NA,NA
cscs_00844,NA,NA
cscs_00845,NA,NA
cscs_00846,NA,NA
cscs_00847,NA,Daily or almost daily
cscs_00848,NA,NA
cscs_00849,NA,NA
cscs_00850,NA,A few times a month
cscs_00851,NA,NA
cscs_00852,NA,A few times a month
cscs_00853,NA,Daily or almost daily
cscs_00854,NA,NA
cscs_00855,NA,Daily or almost daily
cscs_00856,NA,Daily or almost daily
cscs_00857,29,A few times a week
cscs_00858,NA,NA
cscs_00859,NA,A few times a week
cscs_00860,NA,A few times a week
cscs_00861,31,Daily or almost daily
cscs_00862,NA,Weekly
cscs_00863,NA,Weekly
cscs_00863,NA,Daily or almost daily
cscs_00863,NA,Daily or almost daily
cscs_00865,NA,Weekly
cscs_00866,NA,Monthly
cscs_00867,NA,Monthly
cscs_00868,NA,NA
cscs_00869,19,NA
cscs_00870,30,A few times a month
cscs_00871,NA,Daily or almost daily
cscs_00872,33,A few times a week
cscs_00873,30,Daily or almost daily
cscs_00874,NA,NA
cscs_00875,NA,A few times a month
cscs_00876,NA,A few times a week
cscs_00879,NA,NA
cscs_00880,19,A few times a month
cscs_00881,NA,A few times a week
cscs_00882,NA,Monthly
cscs_00883,NA,NA
cscs_00884,NA,A few times a month
cscs_00885,NA,NA
cscs_00886,NA,NA
cscs_00887,NA,NA
cscs_00888,NA,NA
cscs_00889,21,NA
cscs_00890,NA,NA
cscs_00891,35,NA
cscs_00892,NA,Weekly
cscs_00893,NA,Daily or almost daily
cscs_00894,NA,Weekly
cscs_00895,30,Daily or almost daily
cscs_00896,NA,NA
cscs_00898,23,NA
cscs_00899,NA,NA
cscs_00900,NA,NA
cscs_00901,NA,NA
cscs_00902,NA,NA
cscs_00903,NA,Daily or almost daily
cscs_00904,NA,NA
cscs_00905,NA,NA
cscs_00906,NA,Daily or almost daily
cscs_00908,NA,NA
cscs_00909,NA,NA
cscs_00910,NA,A few times a month
cscs_00911,26,A few times a week
cscs_00912,NA,NA
cscs_00913,NA,Weekly
cscs_00914,NA,NA
cscs_00915,30,A few times a month
cscs_00916,NA,NA
cscs_00917,NA,A few times a week
cscs_00918,NA,Daily or almost daily
cscs_00919,13,A few times a week
cscs_00920,NA,Daily or almost daily
cscs_00921,NA,NA
cscs_00922,NA,Monthly
cscs_00923,NA,NA
cscs_00924,14,A few times a week
cscs_00925,NA,Daily or almost daily
cscs_00926,29,Daily or almost daily
cscs_00927,NA,A few times a week
cscs_00928,20,A few times a month
cscs_00929,NA,A few times a week
cscs_00930,29,Weekly
cscs_00931,NA,NA
cscs_00932,NA,NA
cscs_00933,NA,Weekly
cscs_00935,NA,NA
cscs_00936,NA,NA
cscs_00937,NA,NA
cscs_00938,NA,NA
cscs_00939,NA,NA
cscs_00940,NA,NA
cscs_00941,26,A few times a week
cscs_00942,NA,NA
cscs_00943,NA,NA
cscs_00944,NA,NA
cscs_00945,NA,A few times a month
cscs_00946,NA,Weekly
cscs_00947,NA,NA
cscs_00948,NA,Daily or almost daily
cscs_00949,27,Daily or almost daily
cscs_00951,NA,Weekly
cscs_00952,19,Daily or almost daily
cscs_00953,NA,Not in the past three months
cscs_00955,NA,Not in the past three months
cscs_00959,NA,A few times a month
